document_id,entity,ans
ru-10,Тереза Мэй,PER
ru-10,Борис Джонсон,PER
ru-10,Мишель Барнье,PER
ru-10,Себастьян Курц,PER
ru-10,партия тори,ORG
ru-10,Евросоюз,ORG
ru-10,Международный валютный фонд,ORG
ru-10,Еврокомиссия,ORG
ru-10,Британии,LOC
ru-10,Великобритании,LOC
ru-10,Лондон,LOC
ru-10,Брюссель,LOC
ru-10,Альбион,LOC
ru-10,Австрия,LOC
ru-10,Европа,LOC
ru-10,Северная Ирландия,LOC
ru-10,Ла-Манш,LOC
ru-10,Brexit,EVT
ru-10,конференция партии тори,EVT
ru-10,экстренный саммит Евросоюза,EVT
ru-1000,Борис Джонсон,PER
ru-1000,Дэвид Дэвис,PER
ru-1000,Стив Бейкер,PER
ru-1000,Тереза Мэй,PER
ru-1000,The Guardian,ORG
ru-1000,УНН,ORG
ru-1000,британский парламент,ORG
ru-1000,Великобритании,LOC
ru-1000,Соединенного Королевства,LOC
ru-1000,ЕС,LOC
ru-1001,Борис Джонсон,PER
ru-1001,Тереза Мэй,PER
ru-1001,МИД Британии,ORG
ru-1001,Associated Press,ORG
ru-1001,Великобритании,LOC
ru-1001,Соединенного Королевства,LOC
ru-1001,Евросоюза,LOC
ru-1001,Brexit,PRO
ru-1002,Тереза Мей,PER
ru-1002,Борис Джонсон,PER
ru-1002,Дэвид Дэвис,PER
ru-1002,ЕС,ORG
ru-1002,Евросоюза,ORG
ru-1002,Великобритании,LOC
ru-1002,Брекзит,PRO
ru-1003,Борис Джонсон,PER
ru-1003,Тереза Мэй,PER
ru-1003,Дэвид Дэвис,PER
ru-1003,агентство Рейтер,ORG
ru-1003,Даунинг-Стрит,ORG
ru-1003,Великобритании,LOC
ru-1003,Евросоюза,LOC
ru-1003,брекзит,PRO
ru-1004,Борис Джонсон,PER
ru-1004,Тереса Мэй,PER
ru-1004,Дэвид Дэвис,PER
ru-1004,ТАСС,ORG
ru-1004,Консервативной партии,ORG
ru-1004,Евросоюза,ORG
ru-1004,Великобритании,LOC
ru-1004,Лондоне,LOC
ru-1004,Германия,LOC
ru-1004,Польша,LOC
ru-1004,Западных Балкан,LOC
ru-1004,саммит по развитию региона Западных Балкан,EVT
ru-1004,Brexit,PRO
ru-1006,Мария Захарова,PER
ru-1006,Борис Джонсон,PER
ru-1006,Т. Мей,PER
ru-1006,британский король политической эксцентрики,PER
ru-1006,МИД России,ORG
ru-1006,Великобритании,LOC
ru-1006,Британии,LOC
ru-1006,отставка Джонсона,EVT
ru-1006,Brexit,EVT
ru-1011,Борис Джонсон,PER
ru-1011,Тереса Мэй,PER
ru-1011,Дэвид Дэвис,PER
ru-1011,The Guardian,ORG
ru-1011,Великобритания,LOC
ru-1011,ЕС,LOC
ru-1011,Евросоюза,LOC
ru-1011,Brexit,EVT
ru-1017,Борис Джонсон,PER
ru-1017,Дэвид Дэвис,PER
ru-1017,Стив Бейкер,PER
ru-1017,Тереза Мэй,PER
ru-1017,The Guardian,ORG
ru-1017,УНН,ORG
ru-1017,британский парламент,ORG
ru-1017,Великобритании,LOC
ru-1017,Соединенного Королевства,LOC
ru-1017,ЕС,LOC
ru-1017,Европа,LOC
